SURVEY: SDSS
SNID: 14279
IAUC: 2006hx
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 18.488775  deg
DECL: 0.371669  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0300    MW E(B-V)
MWEBV_ERR: 0.0050    error on MWEBV
NEPOCH_PRESN: 12   18   20   19   19   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.045389 +- 0.000011  (Helio, z_best)
REDSHIFT_FINAL: 0.044283 +- 0.000011  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54021.918  (SNANA-FIT)
HOSTGAL_OBJID: 1237666339726688378
HOSTGAL_PHOTOZ: 0.0566  +- 0.0247
HOSTGAL_SNSEP: 2.065   # arcSec
HOSTGAL_LOGMASS: 10.531 +-  0.093   # log10(Mgal/Msolar)
HOSTGAL_MAG: 18.05  16.47  15.75  15.38  15.11 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 20
TELESCOPE: sdss    SEARCH_RUN: 6600  QMASK: 1
IDCCD: 4   FIELD: 82N
CLOUDCAM_AVG: 2707.00     CLOUDCAM_SIG:  7.14
MOONDIST: 999.00 deg     MOONPHASE:   0.11
AIRMASS: 1.504
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 560      560      560      560      560
PHOTOMETRYFLAG: 0        0        0        0       32
GAIN: 3.995    4.760    4.885    4.775    1.600  e/ADU
RDNOISE: 5.593    5.474   12.212   14.803    5.680  e-
SKY_AVG: 61.00   139.25   263.50   150.75    15.25  ADU/pix
SKY_SIG: 4.19     5.58     8.31     6.62     4.59  ADU/pix
PSF_SIG1: 1.107    1.216    1.054    1.030    1.436  pixels
PSF_SIG2: 2.370    3.030    2.537    2.710    3.207  pixels
PSF_RATIO: 0.112    0.046    0.075    0.054    0.058  (at origin)
FLUX: 26.05    76.65    78.08   101.90     5.01  uJy
FLUX_ERRTOT: 0.770    1.898    1.858    5.786    1.870  uJy
FLUXCAL_ERRTOT: 21.555   52.735   52.350  162.032   52.844
MAG_ERRPLUS: 0.0320   0.0270   0.0260   0.0620   0.4220
MAG_ERRMINUS: 0.0320   0.0270   0.0260   0.0620   0.4220
ZEROPT: 28.5060  28.1670  27.9660  26.0790  27.2210
ZEROPT_ERR: 0.0040   0.0030   0.0030   0.0060   0.0000
SKYSUB_ERR: 0.857    8.735   15.046   29.238    6.024  (fluxcal)
GALSUB_ERR: 14.663   19.366   21.128   69.315   59.151  (fluxcal)
END_OF_EPOCH: 20
