SURVEY: SDSS
SNID: 15453
IAUC: 2006ky
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 319.668304  deg
DECL: -1.024288  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 23
FAKE: 0   (=> data)
MWEBV: 0.0539    MW E(B-V)
MWEBV_ERR: 0.0090    error on MWEBV
NEPOCH_PRESN: 8    9   10   12   13   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.175000 +- 0.005000  (Helio, z_best)
REDSHIFT_FINAL: 0.173734 +- 0.005000  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54038.227  (SNANA-FIT)
HOSTGAL_OBJID: 1237663542067725571
HOSTGAL_PHOTOZ: 0.2845  +- 0.1471
HOSTGAL_SNSEP: 0.370   # arcSec
HOSTGAL_LOGMASS: 8.989 +-  0.147   # log10(Mgal/Msolar)
HOSTGAL_MAG: 23.52  22.20  21.77  21.46  21.78 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 23
TELESCOPE: sdss    SEARCH_RUN: 6600  QMASK: 0
IDCCD: 1   FIELD: 82N
CLOUDCAM_AVG: 2685.00     CLOUDCAM_SIG: 11.03
MOONDIST: 999.00 deg     MOONPHASE:   0.10
AIRMASS: 1.504
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 167      167      167      167      167
PHOTOMETRYFLAG: 0        0        8       32      168
GAIN: 3.320    4.710    5.165    4.745    1.620  e/ADU
RDNOISE: 13.114    6.359   14.462    4.271    5.022  e-
SKY_AVG: 85.75   193.00   314.25   226.50    19.50  ADU/pix
SKY_SIG: 6.80     6.92     9.04     7.17     4.57  ADU/pix
PSF_SIG1: 1.494    1.425    1.301    1.422    1.750  pixels
PSF_SIG2: 3.420    3.418    3.381    3.627    3.640  pixels
PSF_RATIO: 0.069    0.062    0.055    0.054    0.109  (at origin)
FLUX: 3.78    10.03    10.25     1.15     3.24  uJy
FLUX_ERRTOT: 0.612    1.023    1.513    5.602    1.817  uJy
FLUXCAL_ERRTOT: 17.521   28.521   43.051  158.292   55.811
MAG_ERRPLUS: 0.1760   0.1110   0.1610   0.9920   0.6480
MAG_ERRMINUS: 0.1760   0.1110   0.1610   0.9920   0.6480
ZEROPT: 28.6120  28.2050  27.8790  26.2590  27.3940
ZEROPT_ERR: 0.0020   0.0010   0.0020   0.0040   0.0240
SKYSUB_ERR: 2.958   11.817   52.894   81.250   51.784  (fluxcal)
GALSUB_ERR: 21.613   22.340   24.157  115.195  137.626  (fluxcal)
END_OF_EPOCH: 23
XPIXEL: 284.340  285.460  283.310   -9.000   -9.000  (pixels)
YPIXEL: 784.130  772.340  775.420   -9.000   -9.000  (pixels)
EDGEDIST: 284.340  285.460  283.310   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.5590  21.4020  21.3600  -9.0000  -9.0000
SEARCH_MAGERR: 0.2020   0.0970   0.1500  -9.0000  -9.0000
END_OF_SN: 15453
PHOTFLAG: [  40   32   32   32  128   33    0    0    0  161    0    0    0    0
  168    0   32    0    0  160    0   32   32    0  128    0   32    0
    0  128   33   32    0   32  129    1   33    1    0  129   33   32
   32   32  137    0    0    0    0  160    0    0    0    0    8    8
    0    0    0  128    0    0    0    0  130    1    1    1    0    1
 1049 1049 1049 1049  137    9    0    0    0  160 1028 1036 1028 1156
 1156    0    0    0   32  168    2 1180 1178    0  160    0    0    0
    0  160    0    0    0    0  168    0    0    0    0  168    0    0
    8   32  168]
SPECTRA: {}

NOBS: 115
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53974.195  g  NULL 2.0800000 13.0600000
OBS: 53974.195  r  NULL 21.5900000 22.5000000
OBS: 53974.195  i  NULL 1.7900000 33.1000000
OBS: 53974.195  z  NULL 26.7100000 109.4000000
OBS: 53974.195  u  NULL -13.8800000 37.4500000
OBS: 53989.202  g  NULL 8.1900000 23.3900000
OBS: 53989.202  r  NULL -5.2800000 23.3100000
OBS: 53989.202  i  NULL -15.4700000 33.9000000
OBS: 53989.202  z  NULL -50.4200000 98.9600000
OBS: 53989.202  u  NULL 21.2000000 56.8000000
OBS: 53995.191  g  NULL -15.2400000 14.7000000
OBS: 53995.191  r  NULL -15.9500000 24.4100000
OBS: 53995.191  i  NULL -12.3700000 35.4900000
OBS: 53995.191  z  NULL -153.7000000 123.1000000
OBS: 53995.191  u  NULL 44.2000000 47.6600000
OBS: 53997.169  g  NULL -11.3100000 16.8700000
OBS: 53997.169  r  NULL 9.8800000 25.3200000
OBS: 53997.169  i  NULL -43.7800000 41.6300000
OBS: 53997.169  z  NULL 116.6000000 155.7000000
OBS: 53997.169  u  NULL 15.9700000 48.1200000
OBS: 54005.141  g  NULL -10.3000000 14.7400000
OBS: 54005.141  r  NULL 6.7600000 20.3200000
OBS: 54005.141  i  NULL 1.6500000 31.4100000
OBS: 54005.141  z  NULL -22.0400000 99.3000000
OBS: 54005.141  u  NULL -10.6100000 37.8100000
OBS: 54007.154  g  NULL -5.2500000 17.7400000
OBS: 54007.154  r  NULL 19.3300000 25.8100000
OBS: 54007.154  i  NULL -31.8200000 40.4700000
OBS: 54007.154  z  NULL 147.0000000 137.8000000
OBS: 54007.154  u  NULL -25.9700000 48.7900000
OBS: 54009.150  g  NULL 15.9800000 25.5700000
OBS: 54009.150  r  NULL 1.2200000 24.5000000
OBS: 54009.150  i  NULL -8.7100000 35.1400000
OBS: 54009.150  z  NULL 8.0400000 102.8000000
OBS: 54009.150  u  NULL -83.5900000 83.7400000
OBS: 54011.215  g  NULL -1.9000000 36.2600000
OBS: 54011.215  r  NULL 6.1200000 30.4000000
OBS: 54011.215  i  NULL 55.8500000 41.4800000
OBS: 54011.215  z  NULL 23.6700000 111.1000000
OBS: 54011.215  u  NULL -35.9500000 104.6000000
OBS: 54019.164  g  NULL 1.5300000 19.4600000
OBS: 54019.164  r  NULL 33.1600000 26.5400000
OBS: 54019.164  i  NULL 42.5700000 37.8600000
OBS: 54019.164  z  NULL 23.8100000 107.4000000
OBS: 54019.164  u  NULL -24.4800000 52.8100000
OBS: 54025.213  g  NULL 253.9000000 17.8300000
OBS: 54025.213  r  NULL 276.7000000 26.3900000
OBS: 54025.213  i  NULL 284.4000000 38.3900000
OBS: 54025.213  z  NULL 243.3000000 140.8000000
OBS: 54025.213  u  NULL 141.1000000 54.1900000
OBS: 54029.143  g  NULL 451.5000000 15.8200000
OBS: 54029.143  r  NULL 418.8000000 22.0300000
OBS: 54029.143  i  NULL 438.2000000 33.2400000
OBS: 54029.143  z  NULL 211.3000000 117.8000000
OBS: 54029.143  u  NULL 172.5000000 39.6000000
OBS: 54031.129  g  NULL 551.9000000 16.2800000
OBS: 54031.129  r  NULL 508.3000000 22.9800000
OBS: 54031.129  i  NULL 461.9000000 32.8800000
OBS: 54031.129  z  NULL 319.4000000 111.4000000
OBS: 54031.129  u  NULL 165.2000000 41.1500000
OBS: 54036.134  g  NULL 619.9000000 24.5700000
OBS: 54036.134  r  NULL 590.8000000 33.7800000
OBS: 54036.134  i  NULL 520.3000000 48.5900000
OBS: 54036.134  z  NULL 673.0000000 166.6000000
OBS: 54036.134  u  NULL 204.0000000 59.1900000
OBS: 54039.132  g  NULL 582.2000000 38.6600000
OBS: 54039.132  r  NULL 610.1000000 41.6500000
OBS: 54039.132  i  NULL 516.0000000 48.6700000
OBS: 54039.132  z  NULL 194.4000000 159.5000000
OBS: 54039.132  u  NULL 253.4000000 84.8600000
OBS: 54041.132  g  NULL 435.1000000 59.9500000
OBS: 54041.132  r  NULL 619.2000000 54.8600000
OBS: 54041.132  i  NULL 569.6000000 70.6200000
OBS: 54041.132  z  NULL 316.8000000 241.0000000
OBS: 54041.132  u  NULL 303.6000000 147.0000000
OBS: 54048.125  g  NULL 353.0000000 23.4500000
OBS: 54048.125  r  NULL 557.4000000 27.2500000
OBS: 54048.125  i  NULL 481.9000000 40.5500000
OBS: 54048.125  z  NULL 304.8000000 148.9000000
OBS: 54048.125  u  NULL 67.1500000 54.0200000
OBS: 54051.117  g  NULL 357.2000000 114.2000000
OBS: 54051.117  r  NULL 202.9000000 382.6000000
OBS: 54051.117  i  NULL 560.7000000 207.9000000
OBS: 54051.117  z  NULL 2952.0000000 2373.0000000
OBS: 54051.117  u  NULL 244.9000000 3261.0000000
OBS: 54052.129  g  NULL 297.9000000 18.4300000
OBS: 54052.129  r  NULL 389.8000000 28.0800000
OBS: 54052.129  i  NULL 385.0000000 44.2600000
OBS: 54052.129  z  NULL 75.6000000 172.5000000
OBS: 54052.129  u  NULL 88.5400000 57.0600000
OBS: 54054.148  g  NULL 221.7000000 23.1900000
OBS: 54054.148  r  NULL -9.0000000 -9.0000000
OBS: 54054.148  i  NULL 401.0000000 76.0900000
OBS: 54054.148  z  NULL 382.5000000 217.2000000
OBS: 54054.148  u  NULL 46.1100000 151.6000000
OBS: 54055.125  g  NULL 232.4000000 16.9700000
OBS: 54055.125  r  NULL 407.8000000 25.6000000
OBS: 54055.125  i  NULL 334.1000000 37.5300000
OBS: 54055.125  z  NULL 184.7000000 138.0000000
OBS: 54055.125  u  NULL 53.1900000 56.2600000
OBS: 54058.123  g  NULL 179.9000000 16.1700000
OBS: 54058.123  r  NULL 296.3000000 24.9400000
OBS: 54058.123  i  NULL 327.4000000 37.0900000
OBS: 54058.123  z  NULL 87.7400000 123.4000000
OBS: 54058.123  u  NULL 76.2900000 48.1800000
OBS: 54060.145  g  NULL 159.8000000 16.3200000
OBS: 54060.145  r  NULL 311.7000000 24.7900000
OBS: 54060.145  i  NULL 305.1000000 45.1600000
OBS: 54060.145  z  NULL 260.8000000 147.0000000
OBS: 54060.145  u  NULL 113.9000000 60.9900000
OBS: 54063.113  g  NULL 106.1000000 17.5200000
OBS: 54063.113  r  NULL 277.5000000 28.5200000
OBS: 54063.113  i  NULL 287.0000000 43.0500000
OBS: 54063.113  z  NULL 31.4400000 158.3000000
OBS: 54063.113  u  NULL 83.6200000 55.8100000
END_PHOTOMETRY:

# =============================================
