SURVEY: SDSS
SNID: 17880
IAUC: 2007jd
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 44.972374  deg
DECL: 1.160707  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 18
FAKE: 0   (=> data)
MWEBV: 0.0772    MW E(B-V)
MWEBV_ERR: 0.0129    error on MWEBV
NEPOCH_PRESN: 15   22   22   22   24   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.072673 +- 0.000009  (Helio, z_best)
REDSHIFT_FINAL: 0.071952 +- 0.000009  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54363.000  (SNANA-FIT)
HOSTGAL_OBJID: 1237678617974407253
HOSTGAL_PHOTOZ: 0.0706  +- 0.0212
HOSTGAL_SNSEP: 4.934   # arcSec
HOSTGAL_LOGMASS: 10.326 +-  0.047   # log10(Mgal/Msolar)
HOSTGAL_MAG: 18.66  17.39  16.82  16.51  16.30 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 18
TELESCOPE: sdss    SEARCH_RUN: 7202  QMASK: 0
IDCCD: 6   FIELD: 82N
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 603      603      603      603      603
PHOTOMETRYFLAG: 33       33       32       32        5
GAIN: 4.035    4.895    4.760    4.690    2.170  e/ADU
RDNOISE: 5.447    4.650   10.710    5.159    5.750  e-
SKY_AVG: 478.00   423.75   388.75   162.50    92.00  ADU/pix
SKY_SIG: 11.03     9.58     9.09     6.01     7.00  ADU/pix
PSF_SIG1: 1.629    1.686    1.792    1.453    1.778  pixels
PSF_SIG2: 3.375    3.452    3.879    3.513    3.648  pixels
PSF_RATIO: 0.099    0.114    0.096    0.061    0.094  (at origin)
FLUX: 3.53     8.74     5.56     6.50    -0.31  uJy
FLUX_ERRTOT: 1.386    1.744    2.457    6.019    4.284  uJy
FLUXCAL_ERRTOT: 41.943   48.920   75.344  193.155  119.763
MAG_ERRPLUS: 0.4400   0.2170   0.4950   0.8190   2.2910
MAG_ERRMINUS: 0.4400   0.2170   0.4950   0.8190   2.2910
ZEROPT: 28.3180  28.0140  27.7150  26.0340  26.7110
ZEROPT_ERR: 0.0020   0.0020   0.0020   0.0060   0.0160
SKYSUB_ERR: 5.303   51.247   35.838   88.619   19.204  (fluxcal)
GALSUB_ERR: 16.990   28.307   54.037  118.214   69.497  (fluxcal)
END_OF_EPOCH: 18
XPIXEL: 1072.370 1070.140 1071.920   -9.000   -9.000  (pixels)
YPIXEL: 334.590  322.910  325.130   -9.000   -9.000  (pixels)
EDGEDIST: 334.590  322.910  325.130   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.0960  21.4000  21.6300  -9.0000  -9.0000
SEARCH_MAGERR: 0.0990   0.0910   0.1690  -9.0000  -9.0000
END_OF_SN: 17880
PHOTFLAG: [  33   33   32   32    1   33    0   32   32    4    0    0    0    0
    4    0    0    0    0  128    0    0    0    0    0    0    8    0
    0    8    0    0    0    0    8  128    0    0    0    8    8    0
    0    0    4 1155  128   34 1155    9    1    0   32   33    1    0
    0   32  128    0  128    0    0    8    0    4    4    4  140    0
  128    0   32  136   32    0   32    0   44    0    0   32   32    0
   33   33   32   32    5]
SPECTRA: {}

NOBS: 89
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

