SURVEY: SDSS
SNID: 18415
IAUC: 2007la
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 337.478285  deg
DECL: 1.058609  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 19
FAKE: 0   (=> data)
MWEBV: 0.0744    MW E(B-V)
MWEBV_ERR: 0.0124    error on MWEBV
NEPOCH_PRESN: 10   12   14   13   16   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.130767 +- 0.000022  (Helio, z_best)
REDSHIFT_FINAL: 0.129400 +- 0.000022  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54381.344  (SNANA-FIT)
HOSTGAL_OBJID: 1237678617407979650
HOSTGAL_PHOTOZ: 0.1244  +- 0.0125
HOSTGAL_SNSEP: 2.840   # arcSec
HOSTGAL_LOGMASS: 10.989 +-  0.077   # log10(Mgal/Msolar)
HOSTGAL_MAG: 20.55  18.46  17.43  16.99  16.64 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 19
TELESCOPE: sdss    SEARCH_RUN: 7202  QMASK: 0
IDCCD: 6   FIELD: 82N
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 152      152      152      152      152
PHOTOMETRYFLAG: 32       32       32        0       32
GAIN: 4.035    4.895    4.760    4.690    2.170  e/ADU
RDNOISE: 5.447    4.650   10.710    5.159    5.750  e-
SKY_AVG: 74.50   170.25   247.75   150.75    11.75  ADU/pix
SKY_SIG: 4.59     6.22     7.56     5.75     3.40  ADU/pix
PSF_SIG1: 1.284    1.433    1.335    1.177    1.447  pixels
PSF_SIG2: 2.450    3.297    3.177    2.798    3.113  pixels
PSF_RATIO: 0.154    0.050    0.050    0.064    0.065  (at origin)
FLUX: 1.24     4.31     2.90    -0.51     0.73  uJy
FLUX_ERRTOT: 0.576    1.002    1.525    4.668    1.792  uJy
FLUXCAL_ERRTOT: 17.317   28.373   47.181  130.741   53.763
MAG_ERRPLUS: 0.4670   0.2510   0.5520   0.8610   1.3580
MAG_ERRMINUS: 0.4670   0.2510   0.5520   0.8610   1.3580
ZEROPT: 28.3900  28.1110  27.8150  26.1000  26.7790
ZEROPT_ERR: 0.0020   0.0020   0.0020   0.0070   0.0120
SKYSUB_ERR: 12.465   12.525   21.248    9.679   13.241  (fluxcal)
GALSUB_ERR: 17.549   32.662   43.565   93.785   57.064  (fluxcal)
END_OF_EPOCH: 19
XPIXEL: 133.840  131.860   -9.000   -9.000   -9.000  (pixels)
YPIXEL: 519.380  506.760   -9.000   -9.000   -9.000  (pixels)
EDGEDIST: 133.840  131.860   -9.000   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.7380  21.9130  -9.0000  -9.0000  -9.0000
SEARCH_MAGERR: 0.1420   0.1170  -9.0000  -9.0000  -9.0000
END_OF_SN: 18415
PHOTFLAG: [  33   32    0   32    0    0   32    0    0   36   32   32   32   32
    2 1188    4  164    4   12   33   33   32   32    1    1 1185   32
   32    1    0    0    0   32  138    0    0    0   32    0    0    0
    0   32    0    1   25   24   32    1    1    1   56  164   37    0
   32   32   32   32   40   32 1208   56  136    0   32   32   32   32
 1196   32   32   32   36   33   33   32   32    5   43 1081 1081   56
    1   41  161   33   32  129   32   32   32    0   32]
SPECTRA: {}

NOBS: 95
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 54346.233  g  NULL 54.0500000 24.7500000
OBS: 54346.233  r  NULL 16.0300000 28.3100000
OBS: 54346.233  i  NULL -23.3000000 51.1500000
OBS: 54346.233  z  NULL 75.7500000 169.5000000
OBS: 54346.233  u  NULL -30.5100000 74.6800000
OBS: 54356.274  g  NULL -25.6000000 16.5100000
OBS: 54356.274  r  NULL 20.5900000 26.4100000
OBS: 54356.274  i  NULL -29.9000000 41.7600000
OBS: 54356.274  z  NULL -150.5000000 136.8000000
OBS: 54356.274  u  NULL 58.4200000 54.7300000
OBS: 54358.219  g  NULL 13.7500000 20.3500000
OBS: 54358.219  r  NULL 56.3800000 33.2200000
OBS: 54358.219  i  NULL 23.0100000 49.9900000
OBS: 54358.219  z  NULL 184.2000000 165.3000000
OBS: 54358.219  u  NULL 179.6000000 62.4200000
OBS: 54359.185  g  NULL 45.4000000 60.0200000
OBS: 54359.185  r  NULL -9.6100000 38.9900000
OBS: 54359.185  i  NULL 82.8800000 98.6700000
OBS: 54359.185  z  NULL -374.7000000 351.5000000
OBS: 54359.185  u  NULL -108.5000000 128.3000000
OBS: 54365.252  g  NULL 7.4900000 30.5200000
OBS: 54365.252  r  NULL 27.9400000 32.1900000
OBS: 54365.252  i  NULL 6.8000000 43.4900000
