SURVEY: SDSS
SNID: 19101
IAUC: 2007ml
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 7.972722  deg
DECL: 0.138298  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 15
FAKE: 0   (=> data)
MWEBV: 0.0225    MW E(B-V)
MWEBV_ERR: 0.0038    error on MWEBV
NEPOCH_PRESN: 8   11   11   11   10   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.187000 +- 0.005000  (Helio, z_best)
REDSHIFT_FINAL: 0.185631 +- 0.005000  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54395.203  (SNANA-FIT)
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9.0000  +- -9.0000
HOSTGAL_SNSEP: -9.000    # arcsec
HOSTGAL_MAG: -9.00  -9.00  -9.00  -9.00  -9.00 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 15
TELESCOPE: sdss    SEARCH_RUN: 7173  QMASK: 0
IDCCD: 4   FIELD: 82S
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 483      483      483      483      483
PHOTOMETRYFLAG: 1        0        0        0        8
GAIN: 3.995    4.760    4.885    4.775    1.600  e/ADU
RDNOISE: 5.593    5.474   12.212   14.803    5.680  e-
SKY_AVG: 235.75   239.00   267.75   104.75    34.50  ADU/pix
SKY_SIG: 7.96     7.28     8.01     6.01     5.76  ADU/pix
PSF_SIG1: 1.561    1.559    1.274    1.450    1.626  pixels
PSF_SIG2: 3.170    3.491    2.899    3.644    3.508  pixels
PSF_RATIO: 0.095    0.082    0.081    0.053    0.074  (at origin)
FLUX: 4.11     9.81     9.24     8.21     2.25  uJy
FLUX_ERRTOT: 0.850    1.181    1.486    4.929    2.160  uJy
FLUXCAL_ERRTOT: 24.508   32.949   42.556  151.585   80.892
MAG_ERRPLUS: 0.2260   0.1310   0.1760   0.5780   1.1400
MAG_ERRMINUS: 0.2260   0.1310   0.1760   0.5780   1.1400
ZEROPT: 28.5110  28.1730  27.9560  26.0380  27.2130
ZEROPT_ERR: 0.0040   0.0030   0.0070   0.0080   0.0000
SKYSUB_ERR: 13.010   13.850   16.203   16.766   43.747  (fluxcal)
GALSUB_ERR: 15.230   20.648   23.268  103.003   50.148  (fluxcal)
END_OF_EPOCH: 15
XPIXEL: 1311.490 1310.890 1311.200   -9.000   -9.000  (pixels)
YPIXEL: 116.350 1465.400 1467.660   -9.000   -9.000  (pixels)
EDGEDIST: 116.350   23.600   21.340   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.4000  21.4390  21.4920  -9.0000  -9.0000
SEARCH_MAGERR: 0.2200   0.1200   0.1550  -9.0000  -9.0000
END_OF_SN: 19101
PHOTFLAG: [   0   32   32    0  140   32    0    0    0    4 1152 1180 1180    0
 1166    0    2    2    0    2    0    0    0    0  136    2    0    0
    0  140    0    0    0    0    2    1    0    0    0    0    1    1
    1    0    1    0    0    0    0    4    0    0    0    0    4    0
    0    0    0    8    0    0    0    0    8    0    0    0    0  128
    1    0    0    0    8]
SPECTRA: {}

NOBS: 75
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 54357.306  g  NULL -3.7000000 13.0600000
OBS: 54357.306  r  NULL 2.8100000 19.4000000
OBS: 54357.306  i  NULL 3.1800000 29.5800000
OBS: 54357.306  z  NULL -131.4000000 98.8400000
OBS: 54357.306  u  NULL 35.3000000 44.3000000
OBS: 54362.356  g  NULL 9.7800000 14.4400000
OBS: 54362.356  r  NULL -4.8700000 25.6500000
