SURVEY: SDSS
SNID: 19174
IAUC: 2007or
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 25.659727  deg
DECL: 1.030393  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0360    MW E(B-V)
MWEBV_ERR: 0.0060    error on MWEBV
NEPOCH_PRESN: 8   13   12   11   10   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.164700 +- 0.000500  (Helio, z_best)
REDSHIFT_FINAL: 0.163565 +- 0.000500  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54394.000  (SNANA-FIT)
HOSTGAL_OBJID: 1237663785282371709
HOSTGAL_PHOTOZ: 0.1716  +- 0.0117
HOSTGAL_SNSEP: 0.247   # arcSec
HOSTGAL_LOGMASS: 11.020 +-  0.054   # log10(Mgal/Msolar)
HOSTGAL_MAG: 20.92  18.99  17.85  17.43  17.13 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 20
TELESCOPE: sdss    SEARCH_RUN: 7183  QMASK: 0
IDCCD: 6   FIELD: 82S
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 127      127      127      127      127
PHOTOMETRYFLAG: 33       33       32       32        1
GAIN: 4.035    4.895    4.760    4.690    2.170  e/ADU
RDNOISE: 5.447    4.650   10.710    5.159    5.750  e-
SKY_AVG: 621.75   422.25   333.00   116.25   110.00  ADU/pix
SKY_SIG: 12.70     9.61     8.65     5.08     7.49  ADU/pix
PSF_SIG1: 1.338    1.278    1.294    1.379    1.503  pixels
PSF_SIG2: 3.206    3.223    3.403    3.444    3.237  pixels
PSF_RATIO: 0.055    0.048    0.043    0.047    0.083  (at origin)
FLUX: 3.16     7.07    11.79    21.36    -3.32  uJy
FLUX_ERRTOT: 1.201    1.461    1.988    6.002    3.038  uJy
FLUXCAL_ERRTOT: 36.346   41.113   56.242  172.334  138.055
MAG_ERRPLUS: 0.4250   0.2250   0.1830   0.3020   1.2650
MAG_ERRMINUS: 0.4250   0.2250   0.1830   0.3020   1.2650
ZEROPT: 28.5220  28.2000  27.8990  26.2060  27.0600
ZEROPT_ERR: 0.0030   0.0030   0.0030   0.0060   0.0250
SKYSUB_ERR: 9.761   12.188   16.690   36.203   21.175  (fluxcal)
GALSUB_ERR: 19.789   34.798   55.221  172.679   76.176  (fluxcal)
END_OF_EPOCH: 20
XPIXEL: 1800.460 1796.710 1798.870   -9.000   -9.000  (pixels)
YPIXEL: 429.930  418.080  421.080   -9.000   -9.000  (pixels)
EDGEDIST: 247.540  251.290  249.130   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.2510  21.2800  21.1870  -9.0000  -9.0000
SEARCH_MAGERR: 0.2800   0.1390   0.1650  -9.0000  -9.0000
END_OF_SN: 19174
PHOTFLAG: [  32    0   32   32    8    4   36   36   36 1188   32    0    0    0
  128   33    0   32    0    1   34   34   32   32   42   32   32   32
   32    0   34   34  162   32   32  168   32    0   34   34   34   32
   32   32   32   32 1184    8   33   35   35   34   33   33   33   32
    1   32   32   32   32  128   32   32   32   32    0   32   32  160
   32 1192   32   32   32   32    0   32   32   32   32    0   32   32
   32   32    8   32   32   32   32   32   33   33   32   32    1]
SPECTRA: {}

NOBS: 97
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 54357.354  g  NULL 7.3600000 18.5200000
OBS: 54357.354  r  NULL -58.2700000 34.6200000
OBS: 54357.354  i  NULL 103.0000000 51.0500000
OBS: 54357.354  z  NULL 136.6000000 141.1000000
OBS: 54357.354  u  NULL -4.6500000 38.1100000
OBS: 54359.386  g  NULL -16.0300000 30.0100000
OBS: 54359.386  r  NULL 19.7900000 47.6900000
OBS: 54359.386  i  NULL 49.2300000 75.8400000
OBS: 54359.386  z  NULL 115.3000000 232.2000000
OBS: 54359.386  u  NULL 20.5200000 67.5600000
OBS: 54362.404  g  NULL 2.8500000 17.7100000
OBS: 54362.404  r  NULL -31.8200000 38.8300000
OBS: 54362.404  i  NULL -75.4600000 55.4800000
OBS: 54362.404  z  NULL -32.5700000 136.2000000
OBS: 54362.404  u  NULL 49.3200000 46.0100000
OBS: 54376.399  g  NULL 36.9400000 23.9200000
OBS: 54376.399  r  NULL -40.1300000 41.7300000
OBS: 54376.399  i  NULL 160.9000000 54.5700000
OBS: 54376.399  z  NULL -91.2700000 161.4000000
OBS: 54376.399  u  NULL -34.3000000 69.1600000
OBS: 54382.385  g  NULL 207.4000000 24.6000000
OBS: 54382.385  r  NULL 123.5000000 45.5400000
OBS: 54382.385  i  NULL 180.7000000 66.8900000
OBS: 54382.385  z  NULL 388.2000000 208.4000000
OBS: 54382.385  u  NULL 32.2700000 75.2000000
OBS: 54385.403  g  NULL 362.5000000 20.0700000
OBS: 54385.403  r  NULL 416.5000000 33.0800000
OBS: 54385.403  i  NULL 443.5000000 46.8100000
OBS: 54385.403  z  NULL 466.7000000 139.8000000
OBS: 54385.403  u  NULL 143.1000000 46.9600000
OBS: 54387.400  r  NULL 377.0000000 58.3400000
OBS: 54387.400  i  NULL 594.8000000 87.5800000
OBS: 54387.400  z  NULL 171.7000000 377.0000000
OBS: 54390.395  g  NULL 638.4000000 24.1200000
OBS: 54390.395  r  NULL 592.4000000 43.1800000
OBS: 54390.395  i  NULL 660.8000000 76.9700000
OBS: 54390.395  z  NULL 256.1000000 220.3000000
OBS: 54390.395  u  NULL 97.0100000 71.7500000
OBS: 54391.404  g  NULL 700.0000000 28.3900000
OBS: 54391.404  r  NULL 485.9000000 52.0700000
OBS: 54391.404  i  NULL 605.9000000 75.6700000
OBS: 54391.404  z  NULL 31.1600000 231.9000000
OBS: 54391.404  u  NULL 125.2000000 166.2000000
OBS: 54394.386  g  NULL 646.1000000 26.2000000
OBS: 54394.386  r  NULL 773.9000000 43.5300000
OBS: 54394.386  i  NULL 670.0000000 61.8900000
OBS: 54394.386  z  NULL 346.3000000 206.9000000
OBS: 54394.386  u  NULL 151.5000000 69.2500000
OBS: 54396.406  g  NULL 632.6000000 105.4000000
OBS: 54396.406  r  NULL 773.9000000 79.3000000
OBS: 54396.406  i  NULL 629.3000000 92.0500000
OBS: 54396.406  z  NULL 510.4000000 295.4000000
OBS: 54402.396  g  NULL 496.4000000 46.2800000
OBS: 54402.396  r  NULL 631.3000000 53.6000000
OBS: 54402.396  i  NULL 544.9000000 70.1100000
OBS: 54402.396  z  NULL 231.7000000 193.2000000
OBS: 54402.396  u  NULL 123.4000000 272.0000000
OBS: 54408.310  g  NULL 291.1000000 19.3500000
OBS: 54408.310  r  NULL 368.8000000 32.7200000
OBS: 54408.310  i  NULL 530.0000000 51.9500000
OBS: 54408.310  z  NULL 201.9000000 152.5000000
OBS: 54408.310  u  NULL -36.2100000 50.5500000
OBS: 54411.268  g  NULL 195.3000000 18.6300000
OBS: 54411.268  r  NULL 379.5000000 31.9100000
OBS: 54411.268  i  NULL 389.3000000 46.5600000
OBS: 54411.268  z  NULL 357.1000000 145.3000000
OBS: 54411.268  u  NULL -4.3100000 42.0600000
OBS: 54413.309  g  NULL 170.3000000 22.7800000
OBS: 54413.309  r  NULL 223.6000000 39.7700000
OBS: 54413.309  i  NULL 376.2000000 63.6500000
OBS: 54413.309  z  NULL 357.1000000 173.4000000
OBS: 54413.309  u  NULL 3.9800000 50.2000000
OBS: 54415.320  g  NULL 131.8000000 19.0600000
OBS: 54415.320  r  NULL 384.8000000 33.4200000
OBS: 54415.320  i  NULL 293.2000000 48.6500000
OBS: 54415.320  z  NULL 443.8000000 140.8000000
OBS: 54415.320  u  NULL -46.5400000 58.1300000
OBS: 54417.310  g  NULL 120.0000000 19.5300000
OBS: 54417.310  r  NULL 266.1000000 32.8200000
OBS: 54417.310  i  NULL 435.4000000 51.2200000
OBS: 54417.310  z  NULL 437.8000000 162.8000000
OBS: 54417.310  u  NULL -88.4200000 51.6400000
OBS: 54418.308  g  NULL 74.5100000 22.7700000
OBS: 54418.308  r  NULL 294.4000000 34.9000000
OBS: 54418.308  i  NULL 395.8000000 51.3900000
OBS: 54418.308  z  NULL 441.2000000 160.8000000
OBS: 54418.308  u  NULL -38.5700000 61.4700000
OBS: 54422.313  g  NULL 53.4800000 22.7700000
OBS: 54422.313  r  NULL 276.9000000 36.2000000
OBS: 54422.313  i  NULL 312.0000000 59.6500000
OBS: 54422.313  z  NULL 449.9000000 167.3000000
OBS: 54422.313  u  NULL 20.6800000 60.5600000
OBS: 54424.249  g  NULL 88.7200000 36.3500000
OBS: 54424.249  r  NULL 195.5000000 41.1100000
OBS: 54424.249  i  NULL 330.1000000 56.2400000
