SURVEY: SDSS
SNID: 19353
IAUC: 2007nj
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 43.114372  deg
DECL: 0.251817  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0725    MW E(B-V)
MWEBV_ERR: 0.0121    error on MWEBV
NEPOCH_PRESN: 9   20   22   23   20   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.154056 +- 0.000014  (Helio, z_best)
REDSHIFT_FINAL: 0.153245 +- 0.000014  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54398.633  (SNANA-FIT)
HOSTGAL_OBJID: 1237657586562105551
HOSTGAL_PHOTOZ: 0.1721  +- 0.0443
HOSTGAL_SNSEP: 4.005   # arcSec
HOSTGAL_LOGMASS: 11.004 +-  0.059   # log10(Mgal/Msolar)
HOSTGAL_MAG: 19.93  18.78  17.89  17.45  17.05 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 20
TELESCOPE: sdss    SEARCH_RUN: 7202  QMASK: 0
IDCCD: 4   FIELD: 82N
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 590      590      590      590      590
PHOTOMETRYFLAG: 1187        9        1      132        5
GAIN: 3.995    4.760    4.885    4.775    1.600  e/ADU
RDNOISE: 5.593    5.474   12.212   14.803    5.680  e-
SKY_AVG: 522.25   441.00   451.25   158.75   119.25  ADU/pix
SKY_SIG: 11.76    10.21    10.39     6.97     9.32  ADU/pix
PSF_SIG1: 1.956    1.492    1.485    1.553    1.916  pixels
PSF_SIG2: 4.014    3.479    3.555    3.985    4.482  pixels
PSF_RATIO: 0.201    0.063    0.059    0.069    0.055  (at origin)
FLUX: 3.43    10.23    13.84    22.07     5.12  uJy
FLUX_ERRTOT: 2.032    1.698    2.179    9.453    4.893  uJy
FLUXCAL_ERRTOT: 69.427   47.593   61.909  288.185  264.038
MAG_ERRPLUS: 0.7160   0.1810   0.1720   0.4800   1.5440
MAG_ERRMINUS: 0.7160   0.1810   0.1720   0.4800   1.5440
ZEROPT: 28.2750  27.9720  27.7430  25.8180  26.9190
