SURVEY: SDSS
SNID: 19616
IAUC: 2007ok
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 37.101109  deg
DECL: 0.184666  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 19
FAKE: 0   (=> data)
MWEBV: 0.0282    MW E(B-V)
MWEBV_ERR: 0.0047    error on MWEBV
NEPOCH_PRESN: 8   14   14   12   12   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.165485 +- 0.000008  (Helio, z_best)
REDSHIFT_FINAL: 0.164548 +- 0.000008  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54403.613  (SNANA-FIT)
HOSTGAL_OBJID: 1237663784213610757
HOSTGAL_PHOTOZ: 0.1183  +- 0.0292
HOSTGAL_SNSEP: 7.141   # arcSec
HOSTGAL_LOGMASS: 11.040 +-  0.043   # log10(Mgal/Msolar)
HOSTGAL_MAG: 19.60  18.25  17.52  17.03  16.80 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 19
TELESCOPE: sdss    SEARCH_RUN: 7183  QMASK: 0
IDCCD: 4   FIELD: 82S
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 203      203      203      203      203
PHOTOMETRYFLAG: 1        1        0        0      129
GAIN: 3.995    4.760    4.885    4.775    1.600  e/ADU
RDNOISE: 5.593    5.474   12.212   14.803    5.680  e-
SKY_AVG: 544.00   357.00   306.50    92.50   119.25  ADU/pix
SKY_SIG: 12.09     8.94     8.75     5.84     9.32  ADU/pix
PSF_SIG1: 1.383    1.073    0.951    1.046    1.367  pixels
PSF_SIG2: 3.324    2.522    2.442    2.633    3.084  pixels
PSF_RATIO: 0.049    0.091    0.065    0.071    0.057  (at origin)
FLUX: 7.79    14.88    13.65    17.64     3.17  uJy
FLUX_ERRTOT: 1.061    1.074    1.309    3.816    2.552  uJy
FLUXCAL_ERRTOT: 30.197   30.051   36.824  108.334   94.504
MAG_ERRPLUS: 0.1490   0.0790   0.1040   0.2280   1.0270
MAG_ERRMINUS: 0.1490   0.0790   0.1040   0.2280   1.0270
ZEROPT: 28.5550  28.2060  27.9790  26.0880  27.3270
ZEROPT_ERR: 0.0040   0.0030   0.0020   0.0040   0.0100
SKYSUB_ERR: 9.188    7.237    8.797   31.572   12.308  (fluxcal)
GALSUB_ERR: 10.712   10.509   12.170   57.225   40.046  (fluxcal)
END_OF_EPOCH: 19
XPIXEL: 1740.020 1738.880 1738.860   -9.000   -9.000  (pixels)
YPIXEL: 1006.740  996.490  999.490   -9.000   -9.000  (pixels)
EDGEDIST: 307.980  309.120  309.140   -9.000   -9.000  (pixels)
SEARCH_MAG: 21.6550  20.9350  21.0100  -9.0000  -9.0000
SEARCH_MAGERR: 0.1360   0.0660   0.0770  -9.0000  -9.0000
END_OF_SN: 19616
PHOTFLAG: [  32   32   32    0  140   32   32   32   32   12    1    0    0    0
    9   32    0   32  128   32    0    0    0    0   32    2  130  130
    0    6 1154 1182    0    2    2    2    2    2    0    0    0   32
 1166    2    0    0    0    2    1    1    1    0    1    0    0    0
    0    8    0    0    0    0    4    0 1152    0    0   32    0    0
    0    0    0    0    0    0    0    8    0    0    0    0    2    8
    0    0    0    0    1    1    0    0  129]
SPECTRA: {}

NOBS: 93
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 54357.385  g  NULL 1.9700000 12.0000000
OBS: 54357.385  r  NULL 10.1200000 21.1600000
OBS: 54357.385  i  NULL 10.9300000 29.4600000
OBS: 54357.385  z  NULL -37.6200000 85.0300000
OBS: 54357.385  u  NULL 41.9300000 41.6200000
OBS: 54362.435  g  NULL 0.1100000 12.3700000
OBS: 54362.435  r  NULL 13.5700000 20.6300000
OBS: 54362.435  i  NULL 1.0600000 31.0300000
OBS: 54362.435  z  NULL 5.3100000 103.4000000
OBS: 54362.435  u  NULL -4.0700000 36.4500000
OBS: 54376.431  g  NULL -6.7200000 18.1500000
OBS: 54376.431  r  NULL -31.6800000 22.9300000
OBS: 54376.431  i  NULL -10.4900000 34.4900000
OBS: 54376.431  z  NULL -41.9900000 107.6000000
OBS: 54376.431  u  NULL -49.6700000 63.8300000
OBS: 54382.416  g  NULL 30.3700000 16.6600000
OBS: 54382.416  r  NULL -33.0900000 29.0000000
