SURVEY: DES
SNID: 1296273
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 41.079811               # deg
DECL: -0.450364               # deg
MWEBV: 0.031                    # MW E(B-V)
MWEBV_ERR: 0.002                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56924.496
REDSHIFT_FINAL: 0.3970 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.3980 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 8.5640 +-  0.4400 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: -0.36    -0.65    -0.90    -1.21    # griz
PRIVATE(DES_mjd_latest_ml): 57003.045
PRIVATE(DES_mjd_trigger): 56923.315
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.419 30.375 30.401 30.449 30.691 30.761 30.999 30.692 30.707 30.746
 30.993 30.656 30.722 30.773 31.016 30.685 30.71  30.766 31.006 30.7
 30.719 30.774 31.023 30.709 30.664 30.742 30.985 30.646 30.657 30.711
 31.001 30.659 30.645 30.735 30.986 30.663 30.654 30.766 30.993 30.67
 30.707 30.769 31.008 30.684 30.712 30.761 30.989 30.625 30.761 30.787
 30.712 30.507 30.483 30.074 30.234 30.758 30.747 30.982 30.681 30.723
 30.773 31.014 30.68 ]
PSF: [2.67  2.38  2.16  2.206 2.5   2.42  2.5   2.314 3.56  3.37  3.16  3.181
 2.91  2.65  2.34  2.039 2.65  2.42  2.19  2.133 2.4   2.14  1.85  1.759
 2.25  2.02  1.87  1.965 4.44  3.94  3.17  3.103 2.24  1.92  1.93  1.685
 2.07  1.79  1.97  1.903 1.92  1.74  1.57  1.52  1.65  1.56  1.41  1.42
 1.98  1.76  1.705 2.01  2.09  1.95  2.05  3.59  3.46  3.74  2.77  1.94
 1.89  1.66  1.759]
SKYSIG: [ 8.32 13.78 26.68 24.87 19.1  22.73 30.76 24.32  7.88 12.2  19.58 18.43
  8.8  13.03 21.44 21.24 12.06 14.17 19.74 17.22 20.29 20.58 26.39 19.99
  8.85 13.74 25.87 25.19  9.19 14.01 24.04 22.97 11.53 15.37 25.67 24.13
 27.48 26.51 32.99 27.26 15.6  16.76 22.8  20.66  8.41 13.16 25.93 25.02
  8.77 12.91 24.5  12.6  16.25 27.66 25.24 20.64 19.73 26.93 23.36  9.39
 12.52 23.51 23.37]
GAIN: [3.52  3.57  3.82  3.889 3.66  3.61  3.81  3.864 3.49  3.56  3.77  3.909
